contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
kaczmarj,134,12,21,18,0.857,15.029,0.111,47.043,0.888,1.418,6.381,1.0,16.839,0.747,2.0,1.952,1.0,1.987,0.386,1.0,4.188,1.0,7.681,0.641,1.0,10.024,0.0,33.632,0.806,0.638,54.133,24.2,83.414,0.681,71.746,12.948,0.119,37.243,0.894,0.828,11.167,8.0,9.379,0.412,7.5
plasmapy-requirements-bot[bot],26,3,1,1,1.0,80.64,0.001,85.685,0.458,167.998,26.0,26.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,2016.0,2016.0,0.0,0.0,0.0,,,0.0,0.0,,76.721,0.001,85.209,0.478,167.996,8.667,9.0,3.512,0.179,3.5
accesslint[bot],192,1,30,30,1.0,8.043,0.0,24.684,0.747,3.605,6.4,3.0,9.0,0.578,7.75,1.0,1.0,0.0,0.0,0.0,3.692,2.0,6.708,0.568,2.25,4.044,0.0,11.844,0.646,0.007,25.998,14.751,41.49,0.634,22.998,,,0.0,0.0,,192.0,192.0,0.0,0.0,0.0
blueztestbot,300,6,4,2,0.5,0.732,0.0,2.133,0.821,0.275,75.0,51.5,86.799,0.53,107.0,3.0,3.0,1.826,0.292,2.5,4.412,2.0,4.591,0.516,6.0,2.057,0.0,5.89,0.777,0.614,1.179,0.214,3.08,0.762,0.821,0.662,0.0,2.212,0.834,0.155,50.0,56.0,26.796,0.258,19.75
thundernest-bot,300,1,1,1,1.0,1.039,0.201,2.128,0.706,0.561,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,310.801,310.801,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
syndace,12,2,2,2,1.0,32.651,0.337,68.358,0.814,12.691,6.0,6.0,5.657,0.333,4.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.5,2.0,38.86,0.0,77.721,0.0,38.86,67.905,0.836,116.384,0.66,100.854,67.905,0.836,116.384,0.66,100.854,6.0,6.0,5.657,0.333,4.0
naming-cop[bot],7,1,2,1,0.5,212.374,1.349,350.448,0.717,330.676,3.5,3.5,3.536,0.357,2.5,1.0,1.0,0.0,0.0,0.0,2.333,2.0,1.528,0.286,1.5,0.943,0.062,1.58,0.478,1.384,635.709,635.709,276.455,0.154,195.483,,,0.0,0.0,,7.0,7.0,0.0,0.0,0.0
bluca,188,11,9,7,0.778,0.759,0.034,2.13,0.832,0.639,20.889,2.0,45.098,0.786,2.0,2.333,1.0,2.598,0.434,1.0,3.241,2.0,5.756,0.548,1.0,1.323,0.0,5.231,0.83,0.068,1.144,0.105,2.356,0.786,1.093,0.799,0.031,2.263,0.839,0.556,17.091,11.0,15.63,0.455,15.5
dbaeumer,252,12,14,5,0.357,1.741,0.063,4.815,0.86,0.526,18.0,16.0,19.659,0.524,17.25,4.143,5.0,2.413,0.293,2.0,2.312,2.0,2.231,0.401,2.0,1.026,0.0,4.326,0.863,0.071,3.01,0.338,6.162,0.794,2.017,1.65,0.047,4.638,0.861,0.462,21.0,10.5,27.778,0.551,15.5
wpmobilebot,285,5,7,3,0.429,0.597,0.158,2.379,0.763,0.525,40.714,43.0,37.317,0.467,60.5,2.429,3.0,0.976,0.168,1.0,2.28,2.0,1.79,0.358,2.0,0.641,0.006,3.275,0.807,0.383,0.721,0.319,1.588,0.652,0.726,0.456,0.225,0.848,0.623,0.271,57.0,16.0,104.166,0.691,10.0
adamscybot,41,10,19,17,0.895,52.834,0.349,93.461,0.764,54.983,2.158,1.0,2.986,0.465,0.5,1.368,1.0,0.761,0.219,0.0,1.708,1.0,2.053,0.353,1.0,2.31,0.0,9.744,0.773,0.004,89.474,49.634,109.934,0.623,145.567,57.267,6.336,85.045,0.685,74.803,4.1,1.0,5.195,0.554,4.5
herpaderpaldent,23,9,6,2,0.333,71.967,0.106,206.484,0.85,32.991,3.833,2.0,4.535,0.457,0.75,2.333,2.0,1.366,0.238,0.0,3.286,2.0,2.289,0.335,2.5,150.822,0.046,358.96,0.803,47.296,87.922,73.238,78.417,0.451,120.956,78.689,0.079,215.866,0.837,51.847,2.556,2.0,1.878,0.338,2.0
cocoapodsbot,300,1,1,1,1.0,0.139,0.058,0.222,0.634,0.147,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,41.617,41.617,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
nblumhardt,245,15,35,12,0.343,2.761,0.088,8.616,0.884,0.683,7.0,2.0,9.573,0.617,5.5,2.486,2.0,2.092,0.383,1.0,1.725,1.0,1.137,0.301,1.0,0.421,0.0,2.131,0.867,0.013,4.354,0.279,10.89,0.846,1.218,2.88,0.084,9.235,0.889,0.809,16.333,13.0,16.893,0.522,18.5
